iter	Passed	Remaining
398	163942	329117
399	164360	328721
400	164777	328322
401	165193	327920
402	165607	327516
403	166023	327115
404	166455	326746
405	166862	326328
406	167349	326064
407	167785	325700
408	168203	325303
409	168610	324884
410	169023	324475
411	169432	324060
412	169843	323649
413	170264	323255
414	170686	322864
415	171095	322448
416	171503	322032
417	171913	321618
418	172349	321252
419	172751	320824
420	173153	320396
421	173561	319978
422	173975	319571
423	174379	319148
424	174776	318710
425	175173	318272
426	175579	317851
427	176006	317469
428	176414	317053
429	176848	316682
430	177257	316267
431	177658	315836
432	178055	315400
433	178459	314977
434	178866	314559
435	179270	314134
436	179694	313745
437	180105	313334
438	180528	312943
439	180935	312524
440	181340	312103
441	181751	311692
442	182156	311269
443	182569	310861
444	182986	310460
445	183401	310055
446	183800	309624
447	184218	309223
448	184633	308819
449	185039	308399
450	185451	307989
451	185865	307583
452	186270	307161
453	186678	306744
454	187085	306326
455	187501	305922
456	187913	305513
457	188321	305097
458	188733	304687
459	189148	304282
460	189570	303889
461	189984	303481
462	190397	303073
463	190810	302665
464	191223	302256
465	191625	301831
466	192035	301417
467	192443	301001
468	192858	300596
469	193250	300155
470	193646	299721
471	194059	299311
472	194479	298915
473	194899	298516
474	195309	298104
475	195734	297713
476	196156	297318
477	196563	296900
478	196965	296475
479	197379	296069
480	197795	295664
481	198209	295257
482	198620	294845
483	199029	294432
484	199440	294020
485	199854	293613
486	200260	293194
487	200673	292786
488	201075	292361
489	201484	291946
490	201879	291512
491	202281	291088
492	202697	290683
493	203093	290251
494	203501	289835
495	203911	289422
496	204311	288996
497	204712	288570
498	205119	288154
499	205520	287728
500	205935	287322
501	206339	286902
502	206742	286480
503	207149	286064
504	207552	285641
505	207960	285226
506	208382	284830
507	208779	284400
508	209204	284009
509	209614	283596
510	210043	283208
511	210445	282786
512	210847	282362
513	211256	281949
514	211682	281558
515	212109	281168
516	212518	280754
517	212936	280352
518	213340	279932
519	213753	279523
520	214161	279108
521	214556	278676
522	214961	278257
523	215366	277839
524	215765	277412
525	216183	277010
526	216606	276615
527	217012	276197
528	217421	275784
529	217813	275348
530	218228	274943
531	218630	274521
532	219049	274119
533	219460	273709
534	219873	273300
535	220299	272908
536	220705	272491
537	221110	272072
538	221518	271658
539	221944	271264
540	222351	270849
541	222752	270426
542	223153	270003
543	223578	269609
544	223990	269200
545	224406	268795
546	224810	268374
547	225211	267952
548	225613	267530
549	226016	267110
550	226438	266712
551	226844	266295
552	227247	265875
553	227649	265453
554	228064	265048
555	228483	264646
556	228890	264230
557	229297	263815
558	229700	263395
559	230112	262985
560	230525	262577
561	230928	262156
562	231334	261740
563	231731	261314
564	232143	260904
565	232558	260498
566	232965	260083
567	233383	259680
568	233787	259261
569	234191	258843
570	234601	258431
571	235018	258026
572	235422	257608
573	235816	257180
574	236227	256769
575	236632	256352
576	237047	255945
577	237452	255528
578	237856	255110
579	238267	254699
580	238688	254299
581	239103	253893
582	239521	253490
583	239923	253069
584	240316	252640
585	240733	252236
586	241146	251827
587	241558	251417
588	241967	251005
589	242369	250585
590	242790	250184
591	243198	249771
592	243598	249349
593	244022	248952
594	244438	248547
595	244855	248142
596	245272	247737
597	245689	247332
598	246116	246938
599	246526	246526
600	246947	246125
601	247359	245715
602	247765	245300
603	248173	244886
604	248593	244484
605	249015	244084
606	249423	243670
607	249834	243259
608	250229	242833
609	250629	242412
610	251039	242000
611	251433	241573
612	251836	241155
613	252246	240743
614	252647	240323
615	253063	239917
616	253473	239505
617	253881	239092
618	254291	238680
619	254686	238255
620	255079	237828
621	255487	237413
622	255878	236985
623	256278	236564
624	256701	236165
625	257119	235760
626	257531	235351
627	257938	234937
628	258335	234514
629	258753	234109
630	259159	233694
631	259566	233281
632	259980	232873
633	260401	232472
634	260797	232048
635	261214	231643
636	261623	231231
637	262042	230827
638	262452	230416
639	262870	230011
640	263274	229595
641	263682	229182
642	264084	228763
643	264496	228354
644	264927	227960
645	265334	227546
646	265744	227135
647	266147	226718
648	266569	226316
649	266985	225910
650	267381	225487
651	267798	225082
652	268209	224671
653	268615	224256
654	269015	223836
655	269433	223432
656	269844	223022
657	270250	222607
658	270657	222193
659	271077	221790
660	271475	221369
661	271898	220968
662	272299	220550
663	272702	220133
664	273106	219717
665	273507	219299
666	273928	218896
667	274344	218489
668	274759	218082
669	275174	217675
670	275578	217258
671	275976	216838
672	276381	216423
673	276789	216010
674	277199	215599
675	277605	215185
676	278007	214768
677	278418	214357
678	278844	213958
679	279259	213551
680	279671	213141
681	280089	212736
682	280507	212331
683	280914	211917
684	281325	211507
685	281734	211095
686	282163	210698
687	282569	210284
688	282962	209860
689	283371	209448
690	283800	209051
691	284206	208637
692	284607	208219
693	285003	207798
694	285421	207392
695	285827	206978
696	286241	206570
697	286656	206162
698	287072	205756
699	287473	205338
700	287884	204927
701	288292	204514
702	288709	204108
703	289119	203697
704	289517	203278
705	289920	202861
706	290315	202440
707	290712	202020
708	291113	201603
709	291514	201186
710	291911	200766
711	292313	200349
712	292723	199938
713	293131	199526
714	293553	199124
715	293965	198713
716	294377	198304
717	294792	197896
718	295210	197491
719	295613	197075
720	296024	196665
721	296434	196254
722	296836	195838
723	297258	195435
724	297682	195033
725	298111	194634
726	298520	194223
727	298921	193806
728	299334	193397
729	299750	192989
730	300155	192576
731	300560	192161
732	300969	191749
733	301375	191336
734	301791	190929
735	302196	190514
736	302610	190106
737	303007	189687
738	303412	189273
739	303835	188870
740	304250	188462
741	304649	188044
742	305060	187635
743	305473	187225
744	305890	186819
745	306303	186409
746	306703	185992
747	307114	185582
748	307508	185161
749	307914	184748
750	308327	184339
751	308732	183925
752	309146	183517
753	309558	183107
754	309963	182693
755	310366	182278
756	310774	181866
757	311203	181466
758	311599	181047
759	312008	180636
760	312421	180227
761	312827	179814
762	313238	179404
763	313634	178985
764	314050	178577
765	314466	178170
766	314858	177749
767	315264	177336
768	315662	176918
769	316083	176514
770	316495	176104
771	316901	175691
772	317301	175274
773	317719	174868
774	318119	174452
775	318508	174030
776	318915	173618
777	319312	173200
778	319714	172785
779	320126	172375
780	320541	171968
781	320961	171562
782	321367	171149
783	321770	170735
784	322193	170331
785	322589	169913
786	323007	169507
787	323412	169093
788	323825	168684
789	324226	168269
790	324640	167860
791	325039	167444
792	325443	167031
793	325852	166619
794	326244	166199
795	326644	165784
796	327041	165367
797	327443	164952
798	327861	164546
799	328264	164132
800	328666	163717
801	329069	163303
802	329466	162886
803	329867	162472
804	330279	162062
805	330706	161660
806	331116	161250
807	331525	160838
808	331940	160430
809	332346	160018
810	332756	159608
811	333157	159193
812	333579	158788
813	333993	158379
814	334406	157970
815	334814	157559
816	335213	157144
817	335622	156733
818	336022	156318
819	336445	155913
820	336864	155507
821	337278	155098
822	337685	154687
823	338086	154272
824	338508	153867
825	338914	153455
826	339337	153050
827	339751	152642
828	340171	152235
829	340571	151821
830	340979	151409
831	341387	150998
832	341779	150580
833	342176	150163
834	342584	149752
835	342992	149341
836	343400	148930
837	343804	148517
838	344207	148103
839	344620	147694
840	345027	147282
841	345437	146872
842	345864	146469
843	346265	146055
844	346682	145647
845	347094	145238
846	347499	144825
847	347914	144417
848	348331	144009
849	348732	143595
850	349145	143186
851	349542	142770
852	349951	142360
853	350355	141947
854	350767	141537
855	351178	141127
856	351614	140728
857	352046	140326
858	352469	139921
859	352891	139515
860	353320	139112
861	353733	138702
862	354161	138299
863	354592	137897
864	355024	137495
865	355460	137094
866	355882	136688
867	356287	136275
868	356700	135866
869	357096	135450
870	357508	135040
871	357916	134629
872	358323	134217
873	358739	133808
874	359146	133397
875	359543	132981
876	359951	132570
877	360357	132158
878	360774	131750
879	361180	131338
880	361597	130930
881	361998	130516
882	362391	130099
883	362799	129688
884	363203	129275
885	363615	128866
886	364035	128458
887	364435	128044
888	364836	127631
889	365241	127218
890	365655	126809
891	366067	126400
892	366480	125990
893	366891	125580
894	367295	125167
895	367711	124759
896	368124	124349
897	368534	123939
898	368946	123529
899	369355	123118
900	369760	122706
901	370167	122294
902	370570	121881
903	370976	121470
904	371371	121054
905	371778	120643
906	372171	120227
907	372576	119815
908	372990	119406
909	373405	118997
910	373820	118588
911	374224	118176
912	374625	117762
913	375027	117349
914	375445	116942
915	375865	116534
916	376264	116120
917	376660	115706
918	377074	115297
919	377472	114882
920	377879	114471
921	378300	114064
922	378700	113651
923	379114	113242
924	379521	112830
925	379941	112423
926	380336	112008
927	380727	111592
928	381128	111179
929	381532	110767
930	381932	110354
931	382332	109941
932	382748	109532
933	383152	109120
934	383560	108709
935	383974	108300
936	384370	107886
937	384771	107473
938	385166	107059
939	385562	106644
940	385967	106233
941	386370	105821
942	386777	105410
943	387181	104998
944	387592	104588
945	388001	104178
946	388402	103765
947	388823	103358
948	389234	102948
949	389622	102532
950	390028	102120
951	390432	101709
952	390836	101297
953	391243	100886
954	391655	100476
955	392072	100068
956	392485	99659
957	392897	99249
958	393298	98837
959	393696	98424
960	394098	98012
961	394511	97602
962	394906	97188
963	395310	96777
964	395714	96365
965	396125	95955
966	396526	95543
967	396941	95134
968	397347	94723
969	397740	94309
970	398146	93898
971	398551	93487
972	398956	93076
973	399368	92666
974	399770	92254
975	400187	91846
976	400599	91436
977	400998	91024
978	401403	90613
979	401798	90199
980	402204	89788
981	402616	89379
982	403023	88968
983	403420	88555
984	403840	88147
985	404241	87735
986	404659	87327
987	405067	86917
988	405477	86507
989	405890	86098
990	406301	85688
991	406714	85278
992	407114	84866
993	407525	84456
994	407921	84044
995	408322	83632
996	408728	83221
997	409134	82810
998	409550	82401
999	409958	81991
1000	410358	81579
1001	410768	81169
1002	411170	80758
1003	411574	80347
1004	411993	79939
1005	412397	79527
1006	412801	79116
1007	413208	78706
1008	413617	78296
1009	414023	77885
1010	414445	77477
1011	414853	77067
1012	415267	76658
1013	415676	76248
1014	416090	75839
1015	416511	75431
1016	416900	75017
1017	417306	74606
1018	417721	74197
1019	418116	73785
1020	418516	73373
1021	418922	72962
1022	419341	72554
1023	419751	72144
1024	420144	71732
1025	420568	71324
1026	420980	70914
1027	421421	70510
1028	421825	70099
1029	422240	69690
1030	422653	69280
1031	423065	68871
1032	423469	68460
1033	423875	68049
1034	424271	67637
1035	424688	67228
1036	425095	66818
1037	425515	66409
1038	425927	66000
1039	426327	65588
1040	426730	65177
1041	427139	64767
1042	427540	64356
1043	427935	63944
1044	428343	63534
1045	428743	63122
1046	429137	62710
1047	429568	62303
1048	429986	61895
1049	430403	61486
1050	430811	61075
1051	431215	60665
1052	431619	60254
1053	432023	59843
1054	432454	59436
1055	432882	59029
1056	433285	58618
1057	433691	58208
1058	434101	57798
1059	434503	57387
1060	434899	56975
1061	435299	56564
1062	435698	56152
1063	436108	55743
1064	436520	55333
1065	436933	54924
1066	437349	54515
1067	437755	54104
1068	438171	53695
1069	438574	53284
1070	438977	52874
1071	439398	52465
1072	439808	52055
1073	440227	51646
1074	440617	51234
1075	441011	50822
1076	441408	50411
1077	441812	50001
1078	442243	49593
1079	442651	49183
1080	443040	48771
1081	443443	48360
1082	443864	47952
1083	444271	47541
1084	444670	47130
1085	445075	46720
1086	445501	46312
1087	445909	45902
1088	446317	45492
1089	446741	45084
1090	447155	44674
1091	447574	44265
1092	447984	43855
1093	448404	43446
1094	448803	43035
1095	449204	42625
1096	449607	42214
1097	450014	41804
1098	450418	41394
1099	450829	40984
1100	451234	40574
1101	451658	40165
1102	452061	39755
1103	452467	39344
1104	452871	38934
1105	453284	38525
1106	453690	38114
1107	454108	37705
1108	454516	37295
1109	454914	36884
1110	455342	36476
1111	455757	36067
1112	456175	35657
1113	456570	35246
1114	456980	34837
1115	457400	34427
1116	457799	34017
1117	458204	33607
1118	458615	33197
1119	459019	32787
1120	459433	32377
1121	459863	31969
1122	460261	31558
1123	460670	31148
1124	461072	30738
1125	461479	30328
1126	461875	29917
1127	462290	29507
1128	462696	29097
1129	463107	28688
1130	463509	28277
1131	463905	27867
1132	464312	27457
1133	464730	27047
1134	465143	26638
1135	465555	26228
1136	465965	25818
1137	466367	25408
1138	466779	24998
1139	467183	24588
1140	467601	24179
1141	468014	23769
1142	468426	23359
1143	468847	22950
1144	469264	22541
1145	469676	22131
1146	470082	21721
1147	470486	21311
1148	470895	20901
1149	471310	20491
1150	471711	20081
1151	472112	19671
1152	472523	19261
1153	472926	18851
1154	473331	18441
1155	473753	18032
1156	474155	17622
1157	474577	17212
1158	474982	16802
1159	475403	16393
1160	475810	15983
1161	476221	15573
1162	476631	15163
1163	477038	14753
1164	477447	14343
1165	477850	13933
1166	478254	13523
1167	478669	13114
1168	479076	12704
1169	479486	12294
1170	479883	11884
1171	480281	11474
1172	480697	11064
1173	481106	10654
1174	481516	10245
1175	481936	9835
1176	482345	9425
1177	482753	9015
1178	483160	8605
1179	483574	8196
1180	483979	7786
1181	484381	7376
1182	484780	6966
1183	485188	6556
1184	485614	6147
1185	486038	5737
1186	486442	5327
1187	486855	4917
1188	487253	4507
1189	487663	4098
1190	488078	3688
1191	488480	3278
1192	488896	2868
1193	489317	2458
1194	489723	2049
1195	490130	1639
1196	490526	1229
1197	490935	819
1198	491326	409
1199	491735	0
